name,name_eng,symbol,type_eng,type,population,rank,distance_tlv,district_eng,district,class_size,bagrut,teacher_student_ratio,income,percent_arab,life_expectancy,diabetes,obesity_grade1,obesity_grade7,cancer_men,cancer_women,voting_rate_knesset_2021,voting_rate_knesset_2022,voting_rate_municipalities_2018,budget_income,budget_income_per_resident,arnona_tax_collection_rate
חורפיש,Hurfeish,496,local municipality,מועצה מקומית,6639,5,129.1,North,הצפון,24,94.8,8.3,9512,100,NA,NA,NA,NA,NA,NA,45.4,45.4,92.6," 57,464 "," 8,732 ", 42 
חצור הגלילית,Hazor HaGelilit,2034,local municipality,מועצה מקומית,10047,4,136.9,North,הצפון,20,58.4,9,8429,0,NA,NA,NA,NA,NA,NA,66.6,66.6,77.3," 95,035 "," 9,734 ", 96 
טובא-זנגרייה,TubaZangariyye,962,local municipality,מועצה מקומית,7095,3,139.6,North,הצפון,24,69.6,9.4,7594,99.9,NA,NA,NA,NA,NA,NA,33,33,84," 45,891 "," 6,546 ", 41 
טורעאן,Tur'an,498,local municipality,מועצה מקומית,14809,3,100.1,North,הצפון,26,76.8,11.5,7830,100,NA,81.1,18,43.9,NA,NA,38.6,38.6,94.2," 83,691 "," 5,711 ", 27 
יאנוח-ג'ת,YanuhJat,1295,local municipality,מועצה מקומית,6930,5,114.6,North,הצפון,22,84.7,9.3,8501,100,NA,NA,NA,NA,NA,NA,45.6,45.6,94.5," 50,533 "," 7,376 ", 50 
יבנאל,Yavne'el,46,local municipality,מועצה מקומית,4542,2,102.3,North,הצפון,20,36.5,11,7743,0,NA,NA,NA,NA,NA,NA,65.8,65.8,83.2," 36,166 "," 8,132 ", 68 
יסוד המעלה,Yesud HaMa'ala,29,local municipality,מועצה מקומית,1798,7,147.6,North,הצפון,19,77.3,NA,11889,0,NA,NA,NA,NA,NA,NA,70.5,70.5,83," 14,412 "," 7,991 ", 91 
יפיע,Yafi,499,local municipality,מועצה מקומית,19704,3,85.5,North,הצפון,26,82.9,9.9,7991,100,NA,89.1,23,39.9,NA,NA,42.2,42.2,79.1," 130,625 "," 6,686 ", 43 
ירוחם,Yeroham,831,local municipality,מועצה מקומית,11170,4,126.3,South,הדרום,25,77.6,8.5,9523,0,NA,71.7,17.6,22.8,NA,NA,62.6,62.6,76.1," 104,667 "," 9,489 ", 69 
ירכא,Yirka,502,local municipality,מועצה מקומית,17759,3,107.6,North,הצפון,25,91.3,7.8,8132,99.6,NA,59.2,17.1,33.9,NA,NA,51,51,96.5," 106,405 "," 6,054 ", 61 
כאבול,Kabul,504,local municipality,מועצה מקומית,14628,3,95.8,North,הצפון,24,65.5,10.9,8167,99.9,NA,89.8,15.9,37,NA,NA,63,63,92," 92,932 "," 6,421 ", 61 
כאוכב אבו אל-היג'א,Kaokab Abu AlHija,505,local municipality,מועצה מקומית,3773,4,98.3,North,הצפון,28,95.8,10.8,8881,99.9,NA,NA,NA,NA,NA,NA,56.1,56.1,90.1," 36,761 "," 9,873 ", 61 
כוכב יאיר,Kokhav Ya'ir,1224,local municipality,מועצה מקומית,8977,10,18.2,Center,המרכז,27,89.2,15.2,17892,0,NA,NA,NA,NA,NA,NA,75.3,75.3,67.5," 70,586 "," 7,888 ", 91 
כסיפה,Kuseife,1059,local municipality,מועצה מקומית,23990,1,110.5,South,הדרום,26,62.8,10.7,7882,99.9,NA,64.2,16,35,NA,NA,46.8,46.8,89.8," 98,269 "," 4,232 ", 36 
כסרא-סמיע,KisraSumei,1296,local municipality,מועצה מקומית,9223,3,120.5,North,הצפון,25,91.6,9.3,8562,100,NA,NA,NA,NA,NA,NA,62.5,62.5,49.3," 60,987 "," 6,696 ", 77 
כעביה-טבאש-חג'אג'רה,Ka'abiyyeTabbashHajajre,978,local municipality,מועצה מקומית,5878,3,85.8,North,הצפון,25,69.1,10.7,7924,99.7,NA,NA,NA,NA,NA,NA,40.5,40.5,95.7," 31,578 "," 5,509 ", 20 
כפר ברא,Kafar Bara,633,local municipality,מועצה מקומית,3946,4,12.6,Center,המרכז,27,83.6,6.9,8386,99.9,NA,NA,NA,NA,NA,NA,55.5,55.5,94.4," 32,848 "," 8,518 ", 56 
כפר ורדים,Kefar Weradim,1263,local municipality,מועצה מקומית,5562,9,118.7,North,הצפון,28,87.6,8.2,16644,4.2,NA,NA,NA,NA,NA,NA,69.2,69.2,63.5," 59,449 "," 10,748 ", 95 
כפר יאסיף,Kafar Yasif,507,local municipality,מועצה מקומית,10394,5,103.9,North,הצפון,28,66.9,12.8,8849,99.8,NA,88.9,27.1,44.4,NA,NA,56.3,56.3,86.9," 72,696 "," 7,042 ", 23 
כפר כמא,Kafar Kama,508,local municipality,מועצה מקומית,3500,6,95.5,North,הצפון,24,72,9.1,10421,99.5,NA,NA,NA,NA,NA,NA,33,33,89.2," 25,503 "," 7,331 ", 60 
כפר כנא,Kafar Kanna,509,local municipality,מועצה מקומית,24108,2,93,North,הצפון,26,75.4,11,7375,99.9,NA,89.1,15.6,32.9,247.7,204,48.1,48.1,93," 141,045 "," 5,950 ", 54 
כפר מנדא,Kafar Manda,510,local municipality,מועצה מקומית,21473,2,92.3,North,הצפון,25,86.8,10.2,7107,100,NA,88.9,24.4,43.8,NA,NA,55.7,55.7,95.5," 146,457 "," 6,950 ", 48 
כפר קרע,Kafar Qara,654,local municipality,מועצה מקומית,20018,5,50.8,Haifa,חיפה,29,71.6,11,8949,99.9,NA,98.9,21.4,44.1,NA,NA,45.5,45.5,85.3," 121,774 "," 6,184 ", 50 
כפר שמריהו,Kefar Shemaryahu,267,local municipality,מועצה מקומית,1951,10,0,Tel Aviv,תל אביב,28,97.1,NA,26822,0,NA,NA,NA,NA,NA,NA,64.7,64.7,57.2," 35,495 "," 18,222 ", 93 
כפר תבור,Kefar Tavor,47,local municipality,מועצה מקומית,4410,8,91.5,North,הצפון,27,79.1,12.2,14783,0,NA,NA,NA,NA,NA,NA,70.6,70.6,77.8," 38,677 "," 8,740 ", 95 
להבים,Lehavim,1271,local municipality,מועצה מקומית,7219,10,79.3,South,הדרום,29,86.1,14,20199,4.4,NA,NA,NA,NA,NA,NA,73.4,73.4,75.6," 53,203 "," 7,626 ", 98 
לקיה,Laqye,1060,local municipality,מועצה מקומית,16011,1,87.5,South,הדרום,27,54.8,11.6,8205,99.9,NA,106.5,12,37.3,NA,NA,40.1,40.1,80.5," 112,392 "," 7,349 ", 25 
מבשרת ציון,Mevasseret Ziyyon,1015,local municipality,מועצה מקומית,25487,8,44.9,Jerusalem,ירושלים,25,83.8,11.1,14558,0,NA,43.4,16.9,19.6,274.9,264.2,69.7,69.7,59.6," 176,898 "," 7,092 ", 82 
מג'ד אל-כרום,Majd alKurum,516,local municipality,מועצה מקומית,15777,3,106.8,North,הצפון,28,77.7,10.8,7649,99.9,NA,89.7,27.4,37.9,NA,NA,NA,54,91.5," 106,021 "," 6,783 ", 49 
מגדל,Migdal,65,local municipality,מועצה מקומית,2031,6,121.4,North,הצפון,NA,65.4,NA,9579,0,NA,81.7,NA,NA,NA,NA,54,62.6,79.8," 28,241 "," 14,205 ", 75 
מג'דל שמס,Majdal Shams,4201,local municipality,מועצה מקומית,11458,3,185,North,הצפון,24,82.6,9.8,7471,100,NA,NA,21.6,44.6,NA,NA,62.6,17.6,3.4," 86,270 "," 7,565 ", 8 
מזכרת בתיה,Mazkeret Batya,28,local municipality,מועצה מקומית,15726,8,19.5,Center,המרכז,27,89.4,11.5,16288,0,NA,56,18.9,24.5,NA,NA,17.6,74.8,73," 101,485 "," 6,580 ", 100 
מזרעה,Mazra'a,517,local municipality,מועצה מקומית,4115,4,103.1,North,הצפון,24,88.9,9.7,8477,99.7,NA,NA,NA,NA,NA,NA,74.8,52,88.5," 23,541 "," 5,773 ", 38 
מטולה,Metula,43,local municipality,מועצה מקומית,1740,7,171.8,North,הצפון,13,73.7,4.3,10609,0,NA,NA,NA,NA,NA,NA,52,58.7,68.4," 14,896 "," 8,801 ", 70 
מיתר,Metar,1268,local municipality,מועצה מקומית,10947,9,93,South,הדרום,28,93.9,14.3,17347,0,NA,NA,15.1,23.8,NA,NA,58.7,73.1,73.5," 77,947 "," 7,378 ", 89 
מסעדה,Mas'ade,4203,local municipality,מועצה מקומית,3869,2,181.2,North,הצפון,25,97.5,8.7,7145,99.9,NA,NA,NA,NA,NA,NA,73.1,19.4,NA," 43,009 "," 11,281 ", 59 
מעיליא,Mi'elya,518,local municipality,מועצה מקומית,3281,7,121,North,הצפון,24,90.7,10.7,11261,97.5,NA,NA,NA,NA,NA,NA,19.4,65,86.8," 26,336 "," 8,060 ", 65 
מעלה אפרים,Ma'ale Efrayim,3608,local municipality,מועצה מקומית,1377,4,61.8,Yosh,אזור יהודה והשומרון,NA,57.1,7.8,8378,0,NA,NA,NA,NA,NA,NA,65,51,NA," 20,912 "," 15,871 ", 76 
מעלה עירון,Ma'ale Iron,1327,local municipality,מועצה מקומית,15861,2,60.9,Haifa,חיפה,25,72.4,11,7566,100,NA,110.9,23.1,39.5,NA,NA,51,31.4,88.3," 110,775 "," 7,082 ", 56 
מצפה רמון,Mizpe Ramon,99,local municipality,מועצה מקומית,5263,3,172,South,הדרום,16,75.3,7.7,7740,4.1,NA,NA,NA,NA,NA,NA,31.4,50.4,63.4," 82,401 "," 15,915 ", 85 
משהד,Meshhed,520,local municipality,מועצה מקומית,8771,2,91.5,North,הצפון,26,77.8,9.6,7481,100,NA,NA,NA,NA,NA,NA,50.4,49.6,92.7,NA,NA,NA
נחף,Nahef,522,local municipality,מועצה מקומית,13717,2,113.9,North,הצפון,26,77.5,10.4,7677,99.8,NA,108.5,21.3,39.3,NA,NA,49.6,47.3,90.1," 95,678 "," 7,057 ", 34 
סאג'ור,Sajur,525,local municipality,מועצה מקומית,4481,4,118.3,North,הצפון,25,84.5,9.7,8512,100,NA,NA,NA,NA,NA,NA,47.3,46.8,95.4," 31,345 "," 7,083 ", 36 
סביון,Savyon,587,local municipality,מועצה מקומית,4054,10,1.7,Center,המרכז,28,94.2,14.7,26554,0,NA,NA,NA,NA,NA,NA,46.8,68.7,57.5," 70,147 "," 17,314 ", 90 
ע'ג'ר,Ghajar,4501,local municipality,מועצה מקומית,2806,3,178.7,North,הצפון,25,69.8,10.6,9111,99.9,NA,NA,NA,NA,NA,NA,68.7,48.4,NA," 22,919 "," 8,349 ", 70 
עומר,Omer,666,local municipality,מועצה מקומית,7710,10,93.9,South,הדרום,30,80,13.2,18826,0,NA,NA,NA,NA,NA,NA,48.4,68.9,73.7," 90,427 "," 11,812 ", 96 
עיילבון,Eilabun,530,local municipality,מועצה מקומית,5799,5,108.9,North,הצפון,28,63,12.6,9949,99.5,NA,NA,NA,NA,NA,NA,68.9,59.1,92.1," 36,971 "," 6,361 ", 29 
עילוט,Ilut,511,local municipality,מועצה מקומית,8863,2,89.6,North,הצפון,24,72.6,9.7,7399,100,NA,NA,NA,NA,NA,NA,59.1,32.2,85.5," 63,544 "," 7,343 ", 63 
עין מאהל,Ein Mahel,532,local municipality,מועצה מקומית,13931,2,91.9,North,הצפון,25,69.4,10.9,6921,99.9,NA,88.5,18.1,38.9,NA,NA,32.2,40.2,95.6," 88,548 "," 6,441 ", 38 
עין קנייא,Ein Qiniyye,4502,local municipality,מועצה מקומית,2190,3,183.6,North,הצפון,22,97.3,10.4,7656,100,NA,NA,NA,NA,NA,NA,40.2,10.3,1," 24,937 "," 11,481 ", 48 
עמנואל,Immanu'el,3660,local municipality,מועצה מקומית,4656,2,35.1,Yosh,אזור יהודה והשומרון,17,33.8,8.2,6339,0,NA,NA,NA,NA,NA,NA,10.3,67.3,73.7," 48,972 "," 11,200 ", 49 
עספיא,Isifya,534,local municipality,מועצה מקומית,12896,5,75.3,Haifa,חיפה,25,90.5,10.1,9358,98.1,NA,69.4,22.4,41.7,NA,NA,67.3,41.7,86.6," 86,956 "," 6,822 ", 50 
ערערה,Ar'ara,637,local municipality,מועצה מקומית,26147,3,52.1,Haifa,חיפה,27,61.7,10.8,8154,99.8,NA,75.2,21.8,46,231,181.1,41.7,39.1,80.1," 118,489 "," 4,589 ", 28 
ערערה-בנגב,Ar'araBaNegev,1192,local municipality,מועצה מקומית,20381,1,118.8,South,הדרום,26,70.3,10.4,7996,99.9,NA,87,10.6,23.4,NA,NA,39.1,48.1,71.5," 94,918 "," 4,823 ", 18 
פוריידיס,Fureidis,537,local municipality,מועצה מקומית,13722,3,50.8,Haifa,חיפה,28,84.5,10.1,7744,99.9,NA,98.5,21.2,43.5,NA,NA,48.1,29,94.3," 97,085 "," 7,154 ", 13 
פסוטה,Fassuta,535,local municipality,מועצה מקומית,3255,6,131.8,North,הצפון,27,68.1,12.1,10597,99.7,NA,NA,NA,NA,NA,NA,29,43.3,83.8," 23,703 "," 7,324 ", 59 
פקיעין (בוקייעה),Peqi'in (Buqei'a),536,local municipality,מועצה מקומית,6104,5,124.3,North,הצפון,26,94.3,10.1,9266,100,NA,NA,NA,NA,NA,NA,43.3,58.5,87.7," 39,788 "," 6,603 ", 55 
פרדס חנה-כרכור,Pardes HannaKarkur,7800,local municipality,מועצה מקומית,44840,7,41.2,Haifa,חיפה,26,82.5,11.5,12865,0,NA,54.2,15.9,31.4,313.3,331.3,58.5,69.2,64.3," 298,401 "," 6,750 ", 75 
פרדסייה,Pardesiyya,171,local municipality,מועצה מקומית,7421,9,18.6,Center,המרכז,29,93.1,12.6,15605,0,NA,NA,NA,NA,NA,NA,69.2,75.8,69.7," 47,710 "," 6,580 ", 87 
קדומים,Qedumim,3557,local municipality,מועצה מקומית,4548,5,34.6,Yosh,אזור יהודה והשומרון,24,86.8,9.1,10312,0,NA,NA,NA,NA,NA,NA,75.8,77.4,75.7," 59,378 "," 12,936 ", 87 
קדימה-צורן,Qadima Zoran,195,local municipality,מועצה מקומית,23220,8,17.2,Center,המרכז,26,87.7,11.2,15711,0,NA,43.3,15.5,19.4,NA,NA,77.4,74.3,71.3,NA,NA,NA
קצרין,Qazrin,4100,local municipality,מועצה מקומית,7876,5,156.1,North,הצפון,25,80,8.3,8357,0,NA,NA,NA,NA,NA,NA,74.3,54.5,63.5," 74,140 "," 9,748 ", 96 
קריית ארבע,Qiryat Arba,3611,local municipality,מועצה מקומית,7490,3,83.2,Yosh,אזור יהודה והשומרון,21,67,6.9,7726,0,NA,NA,NA,NA,NA,NA,54.5,63.7,74.2," 85,646 "," 11,421 ", 81 
קריית טבעון,Qiryat Tiv'on,2300,local municipality,מועצה מקומית,19180,8,75.7,Haifa,חיפה,27,82.7,10.2,14568,0,NA,38.5,11.3,21.3,NA,NA,63.7,67.1,62.3," 120,259 "," 6,494 ", 91 
קריית יערים,Qiryat Ye'arim,1137,local municipality,מועצה מקומית,6555,2,40.2,Jerusalem,ירושלים,26,28,10.3,8782,0,NA,NA,NA,NA,NA,NA,67.1,73.7,NA," 49,257 "," 7,612 ", 82 
קריית עקרון,Qiryat Eqron,469,local municipality,מועצה מקומית,10993,6,16.5,Center,המרכז,23,83.5,10.4,9503,0,NA,61.6,20,28.8,NA,NA,73.7,67.3,70.4," 86,930 "," 7,866 ", 84 
קרני שומרון,Qarne Shomeron,3640,local municipality,מועצה מקומית,9920,6,27,Yosh,אזור יהודה והשומרון,27,85.5,10.6,11100,0,NA,NA,NA,NA,NA,NA,67.3,72.6,70.1," 109,158 "," 11,297 ", 87 
ראמה,Rame,543,local municipality,מועצה מקומית,7798,5,117.8,North,הצפון,29,84,10.7,9410,99.8,NA,NA,NA,NA,NA,NA,72.6,54.5,75.5," 61,744 "," 7,927 ", 49 
ראש פינה,Rosh Pinna,26,local municipality,מועצה מקומית,3308,7,134.1,North,הצפון,30,76.7,NA,10887,0,NA,NA,NA,NA,NA,NA,54.5,66.3,73.5," 49,253 "," 15,216 ", 92 
ריינה,Reine,542,local municipality,מועצה מקומית,19397,3,88.6,North,הצפון,27,73,11.6,7872,99.9,NA,69.7,10.1,49.6,NA,NA,66.3,45.3,85.3," 124,269 "," 6,450 ", 30 
רכסים,Rekhasim,922,local municipality,מועצה מקומית,14198,2,82.5,Haifa,חיפה,25,14.9,11.3,6869,0,NA,53.9,13,25.5,NA,NA,45.3,81.7,NA," 68,510 "," 4,988 ", 52 
רמת ישי,Ramat Yishay,122,local municipality,מועצה מקומית,8120,8,78,North,הצפון,29,83.7,13.9,14830,0,NA,NA,NA,NA,NA,NA,81.7,73.6,69.9," 45,005 "," 5,576 ", 91 
שבלי - אום אל-גנם,ShibliUmm AlGhanam,913,local municipality,מועצה מקומית,6370,3,91.1,North,הצפון,25,73.8,10.9,8084,99.9,NA,NA,NA,NA,NA,NA,73.6,37.3,86.1," 49,848 "," 7,939 ", 34 
שגב-שלום,SegevShalom,1286,local municipality,מועצה מקומית,12540,1,100.4,South,הדרום,27,58.8,11.1,7245,99.9,NA,101.6,7.8,23.9,NA,NA,37.3,49.3,81.6," 98,049 "," 8,264 ", 17 
שוהם,Shoham,1304,local municipality,מועצה מקומית,22731,9,12.8,Center,המרכז,27,94.3,10.9,18142,0,NA,44.4,18.2,22.6,NA,NA,49.3,75.4,72.2," 163,077 "," 7,606 ", 97 
שלומי,Shelomi,812,local municipality,מועצה מקומית,7446,6,116.9,North,הצפון,27,66.7,9.1,10464,0,NA,NA,NA,NA,NA,NA,75.4,63.7,74.3," 65,589 "," 9,297 ", 63 
שעב,Sha'ab,538,local municipality,מועצה מקומית,7469,2,101.8,North,הצפון,24,87.4,10.4,7589,100,NA,NA,NA,NA,NA,NA,63.7,58.9,93.3," 55,163 "," 7,474 ", 35 
שער שומרון,Shaar Shomron,3826,local municipality,מועצה מקומית,8820,,,Yosh,אזור יהודה והשומרון,29,88.9,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
תל מונד,Tel Mond,154,local municipality,מועצה מקומית,14477,9,15.8,Center,המרכז,27,91.3,12.5,18652,0,NA,57.8,17.7,23.2,NA,NA,58.9,73.7,NA," 102,545 "," 7,232 ", 98 
תל שבע,Tel Sheva,1054,local municipality,מועצה מקומית,22849,1,95.6,South,הדרום,26,57.2,10,7247,99.8,NA,114.6,14.6,39.4,NA,NA,73.7,42.7,78.7,NA,NA,NA
אל קסום,NA,69,regional council,מועצה אזורית,18101,1,,South,הדרום,26,57.9,NA,7576,99.6,NA,NA,NA,NA,NA,NA,42.7,44.8,76.8," 219,928 "," 12,735 ", 0 
אל-בטוף,NA,65,regional council,מועצה אזורית,8565,2,,North,הצפון,24,73.6,9.9,7575,99.9,NA,NA,NA,NA,NA,NA,44.8,43.2,89.4," 71,811 "," 8,541 ", 61 
אלונה,NA,45,regional council,מועצה אזורית,2261,8,,Haifa,חיפה,25,83.3,13.8,15505,0,NA,NA,NA,NA,NA,NA,43.2,76.1,73.6," 19,250 "," 8,460 ", 83 
אשכול,NA,38,regional council,מועצה אזורית,15336,6,,South,הדרום,25,76.5,10,11892,0,NA,NA,NA,NA,NA,NA,76.1,67.6,57.1," 223,319 "," 14,687 ", 80 
באר טוביה,NA,33,regional council,מועצה אזורית,23762,7,,South,הדרום,27,80.5,11.1,13485,0,NA,NA,NA,NA,NA,NA,67.6,74.9,68.1," 318,021 "," 13,339 ", 76 
בוסתן אל-מרג',NA,66,regional council,מועצה אזורית,8255,3,,North,הצפון,24,62.5,11.1,8210,99.9,NA,NA,NA,NA,NA,NA,74.9,43.5,84.4," 48,219 "," 5,926 ", 67 
בני שמעון,NA,41,regional council,מועצה אזורית,11628,7,,South,הדרום,26,82,10,14114,0,NA,NA,NA,NA,NA,NA,43.5,74.6,68," 175,156 "," 15,339 ", 92 
ברנר,NA,28,regional council,מועצה אזורית,8073,8,,Center,המרכז,28,91.4,12.3,15814,0,NA,NA,NA,NA,NA,NA,74.6,76.7,NA," 97,100 "," 12,068 ", 99 
גדרות,NA,32,regional council,מועצה אזורית,5201,9,,Center,המרכז,28,79.5,14.3,17529,0,NA,NA,NA,NA,NA,NA,76.7,76.7,76.4," 42,178 "," 8,124 ", 93 
גולן,NA,71,regional council,מועצה אזורית,20103,6,,North,הצפון,25,85.1,8.4,10397,0,NA,NA,NA,NA,NA,NA,76.7,70.3,65," 176,780 "," 9,201 ", 89 
גוש עציון,NA,76,regional council,מועצה אזורית,26503,6,,Yosh,אזור יהודה והשומרון,24,84.7,8,11223,0,NA,NA,NA,NA,NA,NA,70.3,72.7,64.9," 223,303 "," 8,692 ", 91 
גזר,NA,30,regional council,מועצה אזורית,27730,8,,Center,המרכז,28,90.1,11.5,15608,0,NA,NA,NA,NA,NA,NA,72.7,76.7,69.7," 214,189 "," 7,754 ", 86 
גן רווה,NA,27,regional council,מועצה אזורית,6575,8,,Center,המרכז,25,92.2,11,16055,0,NA,NA,NA,NA,NA,NA,76.7,76,66.4," 46,559 "," 7,070 ", 83 
דרום השרון,NA,20,regional council,מועצה אזורית,34507,9,,Center,המרכז,28,91.2,12.3,16452,0,NA,NA,NA,NA,NA,NA,76,77.5,63.7," 318,345 "," 9,274 ", 94 
הגלבוע,NA,8,regional council,מועצה אזורית,32488,5,,North,הצפון,27,79.3,11.7,10370,38.1,NA,NA,NA,NA,NA,NA,77.5,59.5,71.7," 241,616 "," 7,512 ", 65 
הגליל העליון,NA,1,regional council,מועצה אזורית,19922,7,,North,הצפון,26,77.9,9.4,11085,0,NA,NA,NA,NA,NA,NA,59.5,69.3,53.5," 236,022 "," 12,141 ", 95 
הגליל התחתון,NA,3,regional council,מועצה אזורית,12982,7,,North,הצפון,25,84.5,9.2,11853,0,NA,NA,NA,NA,NA,NA,69.3,73.2,73.2," 155,711 "," 12,170 ", 84 
הערבה התיכונה,NA,54,regional council,מועצה אזורית,3958,7,,South,הדרום,28,74.1,8.6,11112,0,NA,NA,NA,NA,NA,NA,73.2,66.8,64.4," 55,321 "," 14,665 ", 68 
הר חברון,NA,78,regional council,מועצה אזורית,10711,5,,Yosh,אזור יהודה והשומרון,23,91.3,8.9,10373,0,NA,NA,NA,NA,NA,NA,66.8,76.1,61.7," 138,588 "," 13,751 ", 84 
זבולון,NA,12,regional council,מועצה אזורית,14030,5,,Haifa,חיפה,24,79.7,7.9,12400,32.3,NA,NA,NA,NA,NA,NA,76.1,61.8,68.9," 166,663 "," 12,117 ", 78 
חבל אילות,NA,53,regional council,מועצה אזורית,4857,5,,South,הדרום,26,89.5,9.2,11141,0,NA,NA,NA,NA,NA,NA,61.8,61.1,NA," 144,993 "," 30,555 ", 80 
חבל יבנה,NA,29,regional council,מועצה אזורית,6962,5,,Center,המרכז,24,85.8,8,12742,0,NA,NA,NA,NA,NA,NA,61.1,79.2,76.2," 67,502 "," 9,754 ", 57 
חבל מודיעין,NA,25,regional council,מועצה אזורית,24003,7,,Center,המרכז,24,86.5,9.2,14560,0,NA,NA,NA,NA,NA,NA,79.2,76.6,70.7," 239,502 "," 9,935 ", 92 
חוף אשקלון,NA,36,regional council,מועצה אזורית,19567,7,,South,הדרום,26,85,10.3,12634,0,NA,NA,NA,NA,NA,NA,76.6,73.8,73.4," 176,713 "," 9,158 ", 81 
חוף הכרמל,NA,15,regional council,מועצה אזורית,36468,7,,Haifa,חיפה,25,85,9.5,15672,0,NA,NA,NA,NA,NA,NA,73.8,70.2,54.9," 285,508 "," 8,031 ", 88 
חוף השרון,NA,19,regional council,מועצה אזורית,15369,9,,Center,המרכז,29,93.5,9.7,16884,4.3,NA,NA,NA,NA,NA,NA,70.2,73.2,NA," 140,714 "," 9,462 ", 97 
יואב,NA,35,regional council,מועצה אזורית,9257,8,,South,הדרום,27,91.6,11.2,14621,0,NA,NA,NA,NA,NA,NA,73.2,74,NA," 124,698 "," 13,558 ", 83 
לב השרון,NA,18,regional council,מועצה אזורית,23692,8,,Center,המרכז,26,91.8,9.8,15005,0,NA,NA,NA,NA,NA,NA,74,72.9,68.8," 229,433 "," 9,692 ", 84 
לכיש,NA,50,regional council,מועצה אזורית,14076,7,,South,הדרום,27,75.5,12.5,12600,0,NA,NA,NA,NA,NA,NA,72.9,75.3,75.4," 106,694 "," 7,744 ", 80 
מבואות החרמון,NA,55,regional council,מועצה אזורית,7728,7,,North,הצפון,26,73.6,10.4,11117,0,NA,NA,NA,NA,NA,NA,75.3,68.2,70.3," 84,716 "," 11,200 ", 74 
מגידו,NA,13,regional council,מועצה אזורית,12344,7,,North,הצפון,27,91.5,11.4,13872,0,NA,NA,NA,NA,NA,NA,68.2,72.5,52.5," 129,510 "," 10,615 ", 84 
מגילות ים המלח,NA,74,regional council,מועצה אזורית,2103,7,,Yosh,אזור יהודה והשומרון,26,71.4,7.8,11206,0,NA,NA,NA,NA,NA,NA,72.5,72.3,NA," 38,386 "," 18,659 ", 81 
מטה אשר,NA,4,regional council,מועצה אזורית,31586,7,,North,הצפון,26,84,9.5,12111,15.4,NA,NA,NA,NA,NA,NA,72.3,67.4,60.6," 343,403 "," 11,133 ", 71 
מטה בנימין,NA,73,regional council,מועצה אזורית,75447,5,,Yosh,אזור יהודה והשומרון,24,77.2,9.2,10605,0,NA,NA,NA,NA,NA,NA,67.4,75.4,65.3," 720,371 "," 9,801 ", 92 
מטה יהודה,NA,26,regional council,מועצה אזורית,62881,7,,Jerusalem,ירושלים,27,82.3,10,13211,8.7,NA,NA,NA,NA,NA,NA,75.4,70.4,66.6," 479,284 "," 7,676 ", 70 
מנשה,NA,14,regional council,מועצה אזורית,22147,7,,Haifa,חיפה,28,74,10.5,13162,16.7,NA,NA,NA,NA,NA,NA,70.4,68.3,NA," 198,124 "," 9,080 ", 65 
מעלה יוסף,NA,52,regional council,מועצה אזורית,11447,7,,North,הצפון,28,76.5,10,11528,0,NA,NA,NA,NA,NA,NA,68.3,69.5,73.8," 138,148 "," 11,904 ", 76 
מרום הגליל,NA,2,regional council,מועצה אזורית,16205,5,,North,הצפון,19,65.6,7.5,9793,17.4,NA,NA,NA,NA,NA,NA,69.5,64.4,75.4," 153,253 "," 9,644 ", 75 
מרחבים,NA,42,regional council,מועצה אזורית,14891,6,,South,הדרום,24,72.9,9.8,11144,0,NA,NA,NA,NA,NA,NA,64.4,73.9,NA," 150,764 "," 10,322 ", 73 
משגב,NA,56,regional council,מועצה אזורית,30671,7,,North,הצפון,27,84.6,10.2,13135,26.4,NA,NA,NA,NA,NA,NA,73.9,67.6,68.8," 264,371 "," 8,756 ", 77 
נווה מדבר,NA,68,regional council,מועצה אזורית,13913,1,,South,הדרום,26,62.1,NA,7251,99.7,NA,NA,NA,NA,NA,NA,67.6,56.8,80.3," 255,858 "," 19,224 ", 1 
נחל שורק,NA,31,regional council,מועצה אזורית,10230,5,,Center,המרכז,27,81.9,10.7,11316,0,NA,NA,NA,NA,NA,NA,56.8,81.5,NA," 106,125 "," 10,416 ", 94 
עמק הירדן,NA,6,regional council,מועצה אזורית,14584,7,,North,הצפון,26,84.2,9.7,11058,0,NA,NA,NA,NA,NA,NA,81.5,66.7,54.4," 185,086 "," 12,862 ", 91 
עמק המעיינות,NA,7,regional council,מועצה אזורית,14773,6,,North,הצפון,27,86.6,7.4,10538,0,NA,NA,NA,NA,NA,NA,66.7,69.3,59.1," 174,899 "," 12,165 ", 81 
עמק חפר,NA,16,regional council,מועצה אזורית,43222,8,,Center,המרכז,27,83.1,9.7,15114,0,NA,NA,NA,NA,NA,NA,69.3,74.3,62.9," 436,067 "," 10,169 ", 86 
עמק יזרעאל,NA,9,regional council,מועצה אזורית,40700,8,,North,הצפון,25,87.8,10.7,14632,4.9,NA,NA,NA,NA,NA,NA,74.3,73.2,61.8," 415,196 "," 10,342 ", 91 
ערבות הירדן,NA,75,regional council,מועצה אזורית,6333,6,,Yosh,אזור יהודה והשומרון,24,82.6,9.8,10805,0,NA,NA,NA,NA,NA,NA,73.2,70.5,71.7," 103,047 "," 16,802 ", 93 
